Character Name,Guild Role,Total Fame,PvE,PvP,Coleta,Craft
imdonedontkillme,fundador,1775424762,1621340247,55517891,6241111,92325513
buracaobama,ENERGIAS GUILDA,1610798728,1395044895,63012051,4482239,148259543
BSAlGunner,fundador,1411666009,1303428640,36398210,8021360,63817799
VULT0,fundador,1353851904,1306710162,19119579,3300572,24721591
Tmaiusculo,fundador,1279006792,1129171449,30995365,3542996,115296982
Horsix,Master of Coin,1269931244,1264763882,5125553,41809,0
Cominhos,fundador,1065433480,842032749,19959478,3832985,199608268
zNeii,ENERGIAS GUILDA,909903521,885162780,17245308,5142609,2352824
goncalves23,ENERGIAS GUILDA,724834859,688825371,35017617,619866,372005
VTracer,fundador,724664265,603233621,16566687,22085867,82778090
Porquitchona,fundador,644720547,618994859,21440336,1724234,2561118
Nagacaburos,fundador,641317723,571540311,54971274,13197778,1608360
avven1996,ENERGIAS GUILDA,581321527,267122183,2297100,7352494,304549750
RobertXVll,ENERGIAS GUILDA,571636757,545500976,20735053,385819,5014909
Xiitos,ENERGIAS GUILDA,494120615,261997231,32706992,207982,199208410
dsn,ENERGIAS GUILDA,472072382,458815196,11727736,1001825,527625
xXFate,ENERGIAS GUILDA,451295028,448124110,3158424,12494,0
SShadowless,ENERGIAS GUILDA,446348623,423184623,8411627,3918695,10833678
Lusitano,Member,389043774,386148034,2670280,9460,216000
xotinhadecoco,ENERGIAS GUILDA,387258643,372803656,12951968,1173584,329435
Davimix,fundador,331279773,313627319,8490956,3396708,5764790
jordansPt,,312654040,290202280,16765862,4865939,819959
Raguinaroqui,ENERGIAS GUILDA,311323409,303797156,6547110,43086,936057
Leygrin,ENERGIAS GUILDA,302504091,277323376,6213489,1206570,17760656
leonekilua,,296567250,267812759,978264,10067062,17709165
Spotk,,263248841,250228115,2363933,2429088,8227705
MonetaryMike,Master of Coin,263082389,169867062,67109967,2521400,23583960
ISpellNotFound,Member,244527831,242141777,2366194,19860,0
Hi6or,Master of Coin,243436290,237384684,3974176,225172,1852258
VnfaTl,,212078093,185038215,23348407,983359,2708112
Sabedoria7,fundador,209754663,191041928,6531869,6520654,5660212
MARIOMALAN,ENERGIAS GUILDA,207679910,77640401,26666215,10633426,92739868
Superpk,Member,198107668,166327506,1450155,5828712,24501295
Kytario,,177382577,171141167,5677774,510442,53194
MineMim,Officer,167899320,165083328,2810058,5033,901
Chuckzerah,Officer,154273178,115273524,1156299,614868,37228487
habibino,Member,151170652,137080205,763825,127,13326495
XlShanksXl,Master of Coin,140826701,134172205,1279627,1456795,3918074
SerpentVeil,Member,132820262,121334914,5954319,530923,5000106
Madruguinha,Member,116217407,111639886,3695656,542193,339672
KuNaKiNa,Member,113752080,109024181,2487733,1222807,1017359
FELP22BR,ENERGIAS GUILDA,111383970,107662064,3517512,155570,48824
maicon1357,ENERGIAS GUILDA,111117511,106217978,2148767,1402292,1348474
Groom84,,110947356,91662246,4873576,814111,13597423
Euhh,Member,110725325,99508887,8026573,1850461,1339404
Jairrodrigo,Member,101096384,82474551,1993854,5446856,11181123
TKZX,Master of Coin,95147426,91524962,2645326,742718,234420
SuSex,,89542528,83940894,5459532,140490,1612
ixpetu,ENERGIAS GUILDA,88525777,86629156,1272421,302519,321681
elcondopassa,,87276319,82867487,4408832,0,0
TensaiPT,Member,85414653,73741548,355260,0,11317845
WillHue,Member,82465509,81263843,300591,44785,856290
Merlinavo,Member,78950911,77352957,927115,549959,120880
Aradzin,,78845674,46571301,6716508,1611749,23946116
hardfedles,,78336071,65974139,11734269,120245,507418
SoulTavio,,78042961,67982691,1262579,64737,8732954
Dorfiuses,,76849636,70411944,5301128,395662,740902
ToastT,Member,74651097,63881564,2762862,628308,7378363
Hlinha,fundador,73712141,65282827,851372,11482,7566460
MargitOmen,Member,73393191,68496401,3278569,408216,1210005
Rasta,,69212127,68439973,265411,412153,94590
