season,guild,rank_pontos_normais,player,pontos_normais_total,pontos_Guild Challenge,pontos_PvE Outlands/Roads,pontos_Gathering Outlands/Roads,pontos_The Depths,pontos_Outlands Treasures,pontos_Smugglers,pontos_Crystal Creatures,pontos_Corrupted Dungeons,pontos_Hideout Power Cores,pontos_Hellgates,pontos_Castles & Outposts
32,NoTag,1,VULTO,13200553,10777000,2403255,0,0,0,0,0,0,0,12117,8181
32,NoTag,2,Horsix,12070237,9731923,2338314,0,0,0,0,0,0,0,0,0
32,NoTag,3,SShadowless,7486784,6234701,1136951,86342,28790,0,0,0,0,0,0,0
32,NoTag,4,zNeii,6918616,5558897,862499,136037,0,126998,228759,0,0,0,0,5426
32,NoTag,5,imdonedontkillme,6888675,5629418,1071709,0,33957,0,0,0,0,139728,3073,10790
32,NoTag,6,bruacaobama,6751339,5273652,1251399,66392,0,158293,0,0,1603,0,0,0
32,NoTag,7,BSAlGunner,6588526,5255125,813242,0,26168,0,167320,46267,0,280404,0,0
32,NoTag,8,Tmaiusculo,6575055,4777546,989734,30211,0,66235,154832,104152,0,435160,0,17185
32,NoTag,9,RobertXVII,6099254,5001800,941339,0,0,0,0,31493,48282,0,76340,0
32,NoTag,10,joker1998,4974107,4281487,0,85363,0,0,198928,62865,0,345464,0,0
32,NoTag,11,Lusitano,4731355,3672832,1047670,0,0,0,0,0,0,0,10853,0
32,NoTag,12,avven1996,4401909,4401909,0,0,0,0,0,0,0,0,0,0
32,NoTag,13,VnfaTI,3887227,3334132,0,0,101642,207663,243790,0,0,0,0,0
32,NoTag,14,Groom84,3529987,3283604,0,0,0,0,0,0,0,246383,0,0
32,NoTag,15,XyoNN,3426746,3319958,0,0,93524,0,0,0,0,0,13264,0
32,NoTag,16,jordansPt,3160227,2373628,0,56283,0,168655,561661,0,0,0,0,0
32,NoTag,17,dsn,2806404,2473398,0,0,0,0,0,77236,0,255770,0,0
32,NoTag,18,Nagacaburos,2773769,2604208,0,79504,0,90057,0,0,0,0,0,0
32,NoTag,19,Kotoe,2619886,2517399,0,0,62513,0,0,29999,2137,0,7838,0
32,NoTag,20,Superpk,2442737,2355027,0,87710,0,0,0,0,0,0,0,0
32,NoTag,21,Madruguinha,2295086,2060552,0,0,0,0,232241,0,2293,0,0,0
32,NoTag,22,Cominhos,2269749,2269749,0,0,0,0,0,0,0,0,0,0
32,NoTag,23,kingjolas,2123777,2107516,0,0,16261,0,0,0,0,0,0,0
32,NoTag,24,jairrodrigo,2063039,2063039,0,0,0,0,0,0,0,0,0,0
32,NoTag,25,FELP22BR,2010117,1830982,0,0,0,0,0,37721,0,141414,0,0
32,NoTag,26,Jhoniybravo,1946858,1767640,0,0,0,0,179218,0,0,0,0,0
32,NoTag,27,goncalves23,1910805,1868107,0,0,0,0,0,42698,0,0,0,0
32,NoTag,28,BrGringBr,1783395,1783395,0,0,0,0,0,0,0,0,0,0
32,NoTag,29,Chuckzerah,1724936,1724936,0,0,0,0,0,0,0,0,0,0
