season,guild,rank_estimado,player,season_points_estimado_total,percentual_dos_pontos_visiveis,season_est_Guild Challenge,season_est_PvE Outlands/Roads,season_est_Gathering Outlands/Roads,season_est_The Depths,season_est_Outlands Treasures,season_est_Smugglers,season_est_Crystal Creatures,season_est_Corrupted Dungeons,season_est_Hideout Power Cores,season_est_Hellgates,season_est_Castles & Outposts,raw_Guild Challenge,raw_PvE Outlands/Roads,raw_Gathering Outlands/Roads,raw_The Depths,raw_Outlands Treasures,raw_Smugglers,raw_Crystal Creatures,raw_Corrupted Dungeons,raw_Hideout Power Cores,raw_Hellgates,raw_Castles & Outposts
32,NoTag,1,RobertXVII,2283.08,5.7389,423.69,362.05,0.0,0.0,0.0,0.0,155.89,693.71,0.0,647.73,0.0,5001800,941339,0,0,0,0,31493,48282,0,76340,0
32,NoTag,2,VnfaTI,2174.23,5.4653,282.43,0.0,0.0,1380.09,315.2,196.51,0.0,0.0,0.0,0.0,0.0,3334132,0,0,101642,207663,243790,0,0,0,0,0
32,NoTag,3,Tmaiusculo,2096.95,5.2711,404.7,380.67,124.2,0.0,100.53,124.8,515.55,0.0,431.05,0.0,15.44,4777546,989734,30211,0,66235,154832,104152,0,435160,0,17185
32,NoTag,4,VULTO,1947.39,4.8951,912.9,924.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.81,7.35,10777000,2403255,0,0,0,0,0,0,0,12117,8181
32,NoTag,5,BSAlGunner,1754.9,4.4113,445.15,312.79,0.0,355.31,0.0,134.87,229.02,0.0,277.76,0.0,0.0,5255125,813242,0,26168,0,167320,46267,0,280404,0,0
32,NoTag,6,zNeii,1743.91,4.3836,470.88,331.73,559.26,0.0,192.76,184.39,0.0,0.0,0.0,0.0,4.87,5558897,862499,136037,0,126998,228759,0,0,0,0,5426
32,NoTag,7,Horsix,1723.73,4.3329,824.37,899.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9731923,2338314,0,0,0,0,0,0,0,0,0
32,NoTag,8,SShadowless,1711.29,4.3016,528.13,437.29,354.96,390.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6234701,1136951,86342,28790,0,0,0,0,0,0,0
32,NoTag,9,XyoNN,1663.64,4.1819,281.23,0.0,0.0,1269.87,0.0,0.0,0.0,0.0,0.0,112.54,0.0,3319958,0,0,93524,0,0,0,0,0,13264,0
32,NoTag,10,joker1998,1527.35,3.8393,362.68,0.0,350.94,0.0,0.0,160.35,311.18,0.0,342.2,0.0,0.0,4281487,0,85363,0,0,198928,62865,0,345464,0,0
